Reference, Quantity, Value, Footprint, Datasheet, manf#
C1 ,1,10u,Capacitors_SMD:C_1206_HandSoldering,https://www.digikey.com/product-detail/en/avx-corporation/TCJA106M025R0150/478-10001-1-ND/6156153,
C12 ,1,100u,Capacitors_SMD:C_1206_HandSoldering,https://www.digikey.com/product-detail/en/vishay-sprague/298W107X0010D/718-1904-6-ND/3877860,
C14 ,1,47p,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/kemet/C0603C470K5RAC7867/399-16402-1-ND/7795482,
C2 C21 C33 C34 C4 C43 C6 ,7,100n,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.es/product-detail/en/murata-electronics-north-america/GCM188R71C104KA37D/490-4774-1-ND/1641693,
C10 C22 C25 ,3,1u,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/taiyo-yuden/TMK107B7105KA-T/587-2984-1-ND/2714177,
C19 C26 C30 ,3,4.7u,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B475KQ8NQNC/1276-2087-1-ND/3890173,
C17 C23 C27 C28 C31 ,5,10n,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GCM188R72A103KA37D/490-4781-1-ND/1641700,
C29 ,1,20n,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10B203KB8NNNC/1276-1984-1-ND/3890070,
C3 C5 C7 ,3,10p,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.es/product-detail/en/kemet/C0603C100K5RACAUTO/399-13711-1-ND/6219639,
C32 ,1,750p,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM1885C1H751JA01D/490-1448-1-ND/587652,
C35 ,1,56n,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/avx-corporation/0603YC563KAT2A/478-1236-1-ND/564268,
C38 ,1,10u,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/avx-corporation/F381A106MMA/478-9527-1-ND/5001619,
C24 C39 ,2,2.2u,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/murata-electronics-north-america/GRT188R61E225KE13D/490-12324-1-ND/5417025,
C11 C40 C41 C8 ,4,100p,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.es/product-detail/en/kemet/C0603C100K5RACAUTO/399-13711-1-ND/6219639,
C9 ,1,470u,Capacitors_SMD:C_0603_HandSoldering,https://www.digikey.com/product-detail/en/nichicon/UWT1E471MNL1GS/493-2194-1-ND/590169,
D1 ,1,LED,LEDs:LED_0805_HandSoldering,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB512V/P5.1KDACT-ND/1465964,
J1 ,1,Barrel_Jack,Connectors:BARREL_JACK,https://www.digikey.com/product-detail/en/cui-inc/PJ-002B/CP-002B-ND/96965,
J2 ,1,SMA_RX,buradar:SMA_molex_straight,https://www.digikey.com/products/en?keywords=0%09WM5536-,
J3 ,1,SMA_TX,buradar:SMA_molex_straight,https://www.digikey.com/products/en?keywords=0%09WM5536-,
J4 ,1,Conn_01x06_Male,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,,
L2 L3 ,2,BLM18PG181SN1D,Inductors_SMD:L_0603_HandSoldering,https://www.digikey.com/product-detail/en/murata-electronics-north-america/BLM18PG181SN1D/490-5263-1-ND/2003844,
L1 L4 ,2,CIC21P101NE,Inductors_SMD:L_0805_HandSoldering,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CIC21P101NE/1276-6374-1-ND/3973736,
R1 R7 ,2,5.1k,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB512V/P5.1KDACT-ND/1465964,
R13 ,1,220,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PB6D2200V/P20941CT-ND/6215196,
R14 ,1,10,Resistors_SMD:R_0805_HandSoldering,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-P6WF10R0V/P16861CT-ND/4964900,
